Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,4,100pF,
"C10, C11, C12, C9",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,4,1uF,
"C3, C4",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,2,470pF,
"C7, C8",CP_Radial_D5.0mm_P2.50mm,2,47uF,
J1,EighthInch_PJ398SM_3mmNPTH,1,CV 1,
J2,EighthInch_PJ398SM_3mmNPTH,1,CV 2,
J3,EighthInch_PJ398SM_3mmNPTH,1,IN 1,
J4,EighthInch_PJ398SM_3mmNPTH,1,IN 2,
J5,EighthInch_PJ398SM_3mmNPTH,1,OUT 1,
J6,EighthInch_PJ398SM_3mmNPTH,1,OUT 2,
PWR1,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText,1,Eurorack_Power_10pin_Unshrouded,
"R1, R15, R16, R2, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,10k,
"R10, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2.2k,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,150k,
"R13, R14, R17, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,470,
R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,7.5k,
"R3, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,33k,
"R4, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,22k,
"RV1, RV10, RV5, RV9",Pot_9mm_DShaft_RemovedPins4_5,4,10k LIN,
"RV2, RV6",Pot_9mm_DShaft_RemovedPins4_5,2,50k LIN,
RV3,Potentiometer_Bourns_3296W_Vertical,1,100k LIN 1,
RV4,Potentiometer_Bourns_3296W_Vertical,1,10K LIN 1,
RV7,Potentiometer_Bourns_3296W_Vertical,1,100k LIN 2,
RV8,Potentiometer_Bourns_3296W_Vertical,1,10K LIN 2,
U1,DIP-16_W7.62mm_Socket,1,V2164M,
U2,DIP-14_W7.62mm_Socket,1,TL074,
