Designator,Mid X,Mid Y,Rotation,Layer
C1,60.215326,-76.636765,0.0,bottom
C10,70.950326,-86.542765,0.0,bottom
C11,60.215326,-73.207765,180.0,bottom
C12,81.685326,-73.207765,180.0,bottom
C2,81.618326,-76.636765,180.0,bottom
C3,70.95,-154.485,180.0,bottom
C4,70.89,-144.325,0.0,bottom
C5,70.950326,-59.87,0.0,bottom
C6,70.95,-81.462765,0.0,bottom
C7,84.855438,-123.37,180.0,bottom
C8,57.234326,-123.37,180.0,bottom
C9,81.678326,-103.052765,0.0,bottom
J1,61.035,-130.99,0.0,top
J2,80.865,-130.99,180.0,top
J3,61.035,-141.15,0.0,top
J4,80.865,-141.15,180.0,top
J5,61.035,-151.31,0.0,top
J6,80.865,-151.31,180.0,top
PWR1,70.95,-124.005,90.0,bottom
R1,60.155,-103.05,180.0,bottom
R10,88.425526,-84.000511,270.0,bottom
R11,53.043326,-141.152765,90.0,bottom
R12,88.857326,-141.15,270.0,bottom
R13,70.95,-148.135,0.0,bottom
R14,70.95,-137.34,180.0,bottom
R15,70.95,-54.155,0.0,bottom
R16,70.950326,-117.022765,180.0,bottom
R17,53.043326,-151.31,270.0,bottom
R18,88.857326,-151.31,270.0,bottom
R19,70.95,-113.845,180.0,bottom
R2,53.424326,-56.672365,270.0,bottom
R3,53.424326,-69.397765,270.0,bottom
R4,60.155,-99.875,180.0,bottom
R5,88.730326,-110.672765,90.0,bottom
R6,88.425526,-56.672365,90.0,bottom
R7,88.476326,-69.397765,270.0,bottom
R8,81.745,-99.875,0.0,bottom
R9,53.424326,-84.0,270.0,bottom
RV1,60.792752,-111.875,180.0,top
RV10,81.112752,-85.205922,180.0,top
RV2,60.792752,-58.535,180.0,top
RV3,60.145,-68.762765,180.0,bottom
RV4,60.145,-95.432765,180.0,bottom
RV5,81.112752,-111.875,180.0,top
RV6,81.112752,-58.535,180.0,top
RV7,81.735,-68.762765,180.0,bottom
RV8,81.735,-95.432765,180.0,bottom
RV9,60.792915,-85.205922,180.0,top
U1,70.94,-98.595,180.0,bottom
U2,70.94,-70.66,180.0,bottom
